iter	RMSE
0	208.2089171
1	207.5561219
2	206.6280508
3	206.2482404
4	205.6658098
5	204.9811438
6	204.3243014
7	203.6537357
8	203.0080452
9	201.3255837
10	201.3508037
11	200.6827269
12	200.0420494
13	199.4363235114	199.133039315	196.8420604
16	196.279392
17	195.5564911
18	194.9718516
19	194.6444682
20	194.0509851
21	193.4643796
22	192.5310958
23	191.6998167
224	190.648225325	190.6197276
26	190.064144
27	189.5483787
28	188.3008822
29	187.5474683
30	186.2707073
31	184.8803186
32	184.1181906
33	183.4070115
34	183.0591753
35	182.5174696
36	181.9468591
37	181.4830153
38	181.2000695
339	182.7753559440	181.9209421441	181.2131096442	181.1145163443	180.8701803444	180.4471014445	180.3726041446	179.614359847	177.4642975
48	177.3635701
49	176.5170501
550	178.2554215151	177.99214652	175.6608782
5353	177.136454	154	177.067955	155	176.565956	174.1010168
57	157	175.577158	173.8740822
59	173.4124002
60	173.0150794
61	172.8906763
62	172.4462165
63	63	173.7636464	171.3520357
65	170.904196
66	170.2205819
67	169.5431568
68	168.8838485
69	168.646241
70	1670	171.62171	168.4559807
72	168.319918
73	1673	170.32874	1674	169.9946108
75	169.906303
76	169.7113767
77	169.6207536
78	169.197322
79	169.0363725
80	168.6775113
81	168.6043683
82	168.3776927
83	168.1524534
84	167.9306531
85	167.4821336
86	167.3612855
87	167.1224278
88	166.7490891
89	166.0954128
90	165.4670015
91	165.2642389
92	164.8506935
93	164.7121823
94	163.9246284
95	163.7902999
96	163.4890223
97	163.4247973
98	163.3058696
99	162.9992211
100	162.7335979
101	162.6222504
102	162.5642026
103	162.478743
104	161.9193504
105	161.5490641
106	161.49539
107	161.1415493
108	160.6052846
109	160.327596
110	160.2743564
111	160.211389
112	160.1317973
113	159.7974661
114	159.7392558
115	159.6193225
116	159.5117004
117	159.4620871
118	159.0918499
119	158.7960566
120	158.7070152
121	158.3844225
122	158.2570737
123	158.130056
124	158.0233601
125	157.663749
126	157.5828556
127	157.5013992
128	156.784578
129	156.7351912
130	156.3802469
131	156.2106752
132	156.1059723
133	156.0465635
134	155.9851426
135	155.9368774
136	155.8841372
137	155.6319799
138	154.969591
139	154.887173
140	154.6200992
141	154.2822871
142	153.7594679
143	153.6874768
144	153.6157069
145	153.5277296
146	153.2179964
147	153.0711516
148	153.0012822
149	152.8903835
150	152.7617169
151	152.616817
152	152.5455884
153	152.4884757
154	152.3539566
155	152.2780335
156	152.0989255
157	151.6094365
158	151.1041574
159	151.0428995
160	150.9959273
161	150.9616036
162	150.9169312
163	150.8493557
164	150.724553
165	150.686152
166	150.5863217
167	150.4296497
168	150.3248746
169	150.1804441
170	150.1189107
171	150.0576577
172	149.8287536
173	149.7803094
174	149.7141223
175	149.6812652
176	149.3596487
177	149.2974661
178	149.0413263
179	148.9901364

3
