iter	Passed	Remaining
0	16	48795
1	28	42792
2	41	41003
3	51	38866
4	63	37911
5	73	36901
6	87	37599
7	99	37026
8	110	36886
9	122	36508
10	132	36106
11	145	36263
12	158	36335
13	171	36517
14	184	36720
15	196	36620
16	221	38811
17	232	38452
18	242	38050
19	253	37745
20	264	37480
21	285	38631
22	296	38425
23	307	38131
24	325	38755
25	336	38483
26	346	38205
27	358	38058
28	369	37884
29	380	37636
30	391	37534
31	402	37326
32	412	37105
33	423	36961
34	434	36780
35	444	36615
36	455	36440
37	465	36302
38	476	36170
39	486	35999
40	496	35854
41	506	35699
42	517	35567
43	527	35435
44	537	35293
45	547	35179
46	558	35073
47	568	34971
48	578	34861
49	589	34779
50	599	34687
51	610	34583
52	620	34491
53	630	34390
54	640	34296
55	650	34218
56	661	34144
57	671	34085
58	682	34003
59	692	33928
60	702	33864
61	712	33783
62	723	33728
63	733	33656
64	743	33591
65	754	33546
66	764	33482
67	775	33434
68	785	33371
69	795	33310
70	805	33246
71	816	33198
72	829	33257
73	839	33206
74	850	33162
75	866	33339
76	876	33288
77	886	33221
78	896	33160
79	907	33109
80	917	33047
81	926	32987
82	937	32935
83	947	32884
84	957	32831
85	967	32769
86	977	32721
87	987	32671
88	997	32613
89	1007	32586
90	1018	32542
91	1027	32487
92	1038	32447
93	1048	32399
94	1058	32354
95	1068	32308
96	1084	32467
97	1105	32750
98	1116	32710
99	1127	32707
100	1138	32673
101	1149	32645
102	1160	32627
103	1172	32654
104	1188	32759
105	1200	32786
106	1213	32805
107	1223	32766
108	1236	32782
109	1249	32839
110	1294	33691
111	1308	33734
112	1321	33766
113	1337	33851
114	1353	33965
115	1368	34035
116	1386	34174
117	1402	34243
118	1417	34316
119	1430	34330
120	1445	34401
121	1459	34440
122	1481	34648
123	1504	34893
124	1521	34986
125	1536	35041
126	1557	35228
127	1577	35392
128	1598	35577
129	1616	35676
130	1630	35699
131	1644	35728
132	1662	35835
133	1680	35940
134	1694	35954
135	1706	35928
136	1717	35901
137	1729	35866
138	1741	35836
139	1752	35798
140	1763	35759
141	1775	35739
142	1822	36411
143	1839	36476
144	1853	36495
145	1901	37168
146	1911	37096
147	1926	37123
148	1940	37139
149	1979	37606
150	1990	37562
151	2002	37525
152	2014	37483
153	2025	37439
154	2033	37326
155	2045	37283
156	2068	37463
157	2080	37417
158	2091	37366
159	2103	37332
160	2114	37284
161	2125	37235
162	2136	37189
163	2149	37169
164	2161	37141
165	2173	37110
166	2185	37076
167	2197	37047
168	2210	37023
169	2222	36993
170	2241	37079
171	2257	37123
172	2276	37208
173	2292	37231
174	2308	37263
175	2325	37313
176	2341	37346
177	2357	37370
178	2373	37406
179	2389	37437
180	2406	37477
181	2421	37498
182	2436	37510
183	2452	37528
184	2467	37543
185	2482	37560
186	2496	37558
187	2523	37747
188	2536	37724
189	2548	37693
190	2574	37856
191	2586	37828
192	2599	37806
193	2611	37772
194	2624	37745
195	2636	37720
196	2650	37711
197	2658	37623
198	2672	37611
199	2684	37588
200	2696	37553
201	2711	37554
202	2723	37524
203	2738	37530
204	2751	37510
205	2763	37475
206	2776	37456
207	2792	37482
208	2804	37457
209	2817	37433
210	2829	37399
211	2842	37376
212	2854	37350
213	2866	37314
214	2878	37280
215	2889	37247
216	2901	37217
217	2913	37178
218	2927	37179
219	2939	37142
220	2950	37102
221	2961	37058
222	2972	37017
223	2983	36972
224	2994	36927
225	3021	37085
226	3033	37050
227	3048	37065
228	3059	37023
229	3071	36996
230	3083	36960
231	3094	36921
232	3105	36875
233	3116	36834
234	3127	36798
235	3138	36758
236	3150	36726
237	3161	36692
238	3172	36652
239	3183	36611
240	3194	36569
241	3204	36526
242	3215	36484
243	3226	36448
244	3237	36403
245	3247	36359
246	3258	36316
247	3270	36289
248	3281	36250
249	3291	36208
250	3301	36162
251	3312	36125
252	3323	36080
253	3333	36038
254	3345	36011
255	3356	35972
256	3366	35932
257	3377	35894
258	3387	35849
259	3397	35806
260	3407	35764
261	3418	35719
262	3428	35677
263	3438	35634
264	3448	35592
265	3458	35550
266	3469	35511
267	3479	35470
268	3489	35430
269	3500	35391
270	3510	35348
271	3520	35307
272	3536	35330
273	3547	35292
274	3557	35253
275	3567	35212
276	3579	35185
277	3590	35155
278	3601	35128
279	3613	35097
280	3624	35070
281	3635	35044
282	3647	35019
283	3659	34993
284	3670	34968
285	3682	34943
286	3694	34920
287	3705	34891
288	3716	34867
289	3729	34847
290	3740	34822
291	3752	34797
292	3763	34772
293	3790	34892
294	3802	34870
295	3814	34844
296	3837	34923
297	3849	34904
298	3861	34881
299	3873	34857
300	3884	34831
301	3896	34807
302	3907	34782
303	3918	34754
304	3933	34753
305	3945	34738
306	3958	34723
307	3970	34699
308	3981	34673
309	4007	34771
310	4017	34740
311	4028	34705
312	4038	34670
313	4049	34636
314	4059	34601
315	4069	34565
316	4080	34533
317	4091	34508
318	4102	34483
319	4114	34458
320	4130	34474
321	4142	34451
322	4154	34430
323	4165	34404
324	4177	34381
325	4188	34359
326	4200	34333
327	4211	34308
328	4223	34285
329	4234	34260
330	4245	34236
331	4259	34226
332	4270	34204
333	4282	34180
334	4293	34155
335	4304	34130
336	4316	34108
337	4362	34355
338	4373	34331
339	4385	34306
340	4396	34278
341	4407	34254
342	4418	34229
343	4429	34201
344	4441	34180
345	4452	34155
346	4470	34176
347	4481	34150
348	4492	34124
349	4502	34094
350	4514	34067
351	4524	34035
352	4534	34005
353	4545	33975
354	4555	33941
355	4565	33911
356	4578	33899
357	4590	33874
358	4601	33854
359	4613	33830
360	4625	33814
361	4637	33796
362	4649	33774
363	4661	33755
364	4673	33740
365	4685	33722
366	4697	33704
367	4708	33676
368	4719	33647
369	4731	33628
370	4742	33609
371	4754	33588
372	4766	33567
373	4777	33544
374	4789	33525
375	4801	33506
376	4812	33483
377	4823	33461
378	4835	33441
379	4847	33424
380	4859	33403
381	4870	33381
382	4882	33358
383	4893	33337
384	4912	33367
385	4923	33341
386	4934	33315
387	4948	33310
388	4958	33283
389	4969	33259
390	4981	33239
391	4992	33214
392	5003	33189
393	5014	33164
394	5024	33137
395	5035	33110
396	5045	33083
397	5056	33060
398	5067	33037
399	5079	33019
400	5091	33001
401	5103	32985
402	5115	32968
403	5127	32946
404	5141	32945
405	5152	32923
406	5164	32902
407	5175	32878
408	5185	32851
409	5196	32827
410	5220	32884
411	5230	32857
412	5242	32837
413	5253	32813
414	5263	32785
415	5273	32756
416	5284	32733
417	5294	32704
418	5304	32676
419	5315	32651
420	5325	32624
421	5336	32601
422	5347	32578
423	5358	32554
424	5369	32535
425	5381	32514
426	5392	32495
427	5403	32474
428	5415	32455
429	5427	32436
430	5438	32418
431	5450	32400
432	5474	32452
433	5485	32431
434	5496	32408
435	5507	32387
436	5518	32365
437	5535	32380
438	5547	32363
439	5559	32343
440	5582	32393
441	5594	32379
442	5607	32366
443	5619	32352
444	5632	32336
445	5644	32320
446	5656	32306
447	5669	32297
448	5682	32286
449	5737	32511
450	5749	32492
451	5760	32470
452	5771	32453
453	5783	32435
454	5796	32423
455	5808	32406
456	5820	32389
457	5832	32373
458	5844	32355
459	5856	32336
460	5868	32318
461	5879	32301
462	5893	32291
463	5922	32368
464	5935	32355
465	5946	32337
466	5958	32317
467	5970	32300
468	5982	32286
469	5997	32282
470	6009	32268
471	6023	32259
472	6039	32263
473	6068	32338
474	6086	32356
475	6105	32373
476	6123	32389
477	6138	32385
478	6151	32374
479	6167	32377
480	6192	32428
481	6207	32426
482	6223	32434
483	6236	32421
484	6251	32416
485	6265	32409
486	6278	32397
487	6292	32391
488	6306	32385
489	6319	32371
490	6331	32355
491	6343	32333
492	6353	32310
