중식계,석식계
872.0,488.0
1045.0,550.0
924.0,515.0
879.0,518.0
696.0,344.0
683.0,412.0
926.0,578.0
922.0,503.0
911.0,430.0
1022.0,526.0
389.0,244.0
660.0,436.0
829.0,425.0
772.0,464.0
754.0,494.0
1094.0,494.0
508.0,349.0
858.0,494.0
1006.0,390.0
843.0,489.0
958.0,392.0
901.0,514.0
839.0,529.0
876.0,359.0
654.0,420.0
814.0,342.0
1074.0,598.0
762.0,509.0
919.0,519.0
824.0,482.0
614.0,265.0
658.0,509.0
945.0,439.0
1022.0,514.0
750.0,429.0
859.0,601.0
619.0,0.0
1258.0,568.0
652.0,444.0
898.0,431.0
845.0,274.0
760.0,0.0
627.0,430.0
835.0,577.0
856.0,385.0
849.0,504.0
1127.0,631.0
747.0,540.0
750.0,414.0
1038.0,439.0
1227.0,528.0
802.0,363.0
635.0,344.0
535.0,373.0
1128.0,537.0
702.0,277.0
539.0,434.0
781.0,526.0
646.0,482.0
713.0,511.0
990.0,627.0
1270.0,579.0
764.0,542.0
858.0,327.0
644.0,406.0
644.0,518.0
791.0,336.0
459.0,276.0
834.0,575.0
1251.0,541.0
1058.0,552.0
1032.0,445.0
1021.0,497.0
736.0,497.0
758.0,433.0
947.0,500.0
1014.0,523.0
849.0,569.0
820.0,238.0
539.0,326.0
792.0,308.0
618.0,426.0
791.0,293.0
1072.0,407.0
803.0,0.0
824.0,405.0
804.0,555.0
940.0,587.0
1370.0,649.0
1249.0,599.0
747.0,316.0
985.0,465.0
644.0,383.0
1150.0,555.0
679.0,398.0
901.0,514.0
896.0,421.0
529.0,226.0
839.0,392.0
841.0,304.0
820.0,546.0
1133.0,389.0
630.0,466.0
1013.0,503.0
857.0,532.0
781.0,502.0
993.0,540.0
1186.0,533.0
958.0,531.0
1319.0,751.0
938.0,454.0
1119.0,486.0
862.0,0.0
864.0,484.0
704.0,339.0
784.0,373.0
871.0,280.0
707.0,487.0
866.0,499.0
662.0,494.0
905.0,441.0
